,reg_id,name
0,1,Region I (Ilocos Region)
1,2,Region II (Cagayan Valley)
2,3,Region III (Central Luzon)
3,4,Region IV-A (CALABARZON)
4,17,MIMAROPA Region
5,5,Region V (Bicol Region)
6,6,Region VI (Western Visayas)
7,7,Region VII (Central Visayas)
8,8,Region VIII (Eastern Visayas)
9,9,Region IX (Zamboanga Peninsula)
10,10,Region X (Northern Mindanao)
11,11,Region XI (Davao Region)
12,12,Region XII (SOCCSKSARGEN)
13,13,National Capital Region (NCR)
14,14,Cordillera Administrative Region (CAR)
15,15,Autonomous Region In Muslim Mindanao (ARMM)
16,16,Region XIII (Caraga)
